"Município";"População de 15 anos ou mais"
"210735 NOVA OLINDA DO MARANHAO";9359
"210740 OLHO D'AGUA DAS CUNHAS";9361
"210745 OLINDA NOVA DO MARANHAO";6051
"210750 PACO DO LUMIAR";50341
"210760 PALMEIRANDIA";10677
"210770 PARAIBANO";11174
"210780 PARNARAMA";19830
"210790 PASSAGEM FRANCA";9240
"210800 PASTOS BONS";9630
"210805 PAULINO NEVES";6245
"210810 PAULO RAMOS";11384
"210820 PEDREIRAS";26764
"210825 PEDRO DO ROSARIO";10179
"210830 PENALVA";17728
"210840 PERI MIRIM";8383
"210845 PERITORO";10671
"210850 PINDARE-MIRIM";17210
"210860 PINHEIRO";43413
"210870 PIO XII";17221
"210880 PIRAPEMAS";8872
"210890 POCAO DE PEDRAS";14529
"210900 PORTO FRANCO";10605
"210905 PORTO RICO DO MARANHAO";4085
"210910 PRESIDENTE DUTRA";25405
"210920 PRESIDENTE JUSCELINO";5847
"210923 PRESIDENTE MEDICI";3056
"210927 PRESIDENTE SARNEY";7927
"210930 PRESIDENTE VARGAS";5885
"210940 PRIMEIRA CRUZ";6122
"210945 RAPOSA";10189
"210950 RIACHAO";12736
"210955 RIBAMAR FIQUENE";3853
"210960 ROSARIO";20230
"210970 SAMBAIBA";3020
"210975 SANTA FILOMENA DO MARANHAO";2750
"210980 SANTA HELENA";18776
"210990 SANTA INES";44410
"211000 SANTA LUZIA";40527
"211003 SANTA LUZIA DO PARUA";11958
"211010 SANTA QUITERIA DO MARANHAO";16002
"211020 SANTA RITA";15105
"211023 SANTANA DO MARANHAO";6177
"211027 SANTO AMARO DO MARANHAO";5244
"211030 SANTO ANTONIO DOS LOPES";9025
"211040 SAO BENEDITO DO RIO PRETO";9208
"211050 SAO BENTO";20299
"211060 SAO BERNARDO";13494
"211065 SAO DOMINGOS DO AZEITAO";3774
"211070 SAO DOMINGOS DO MARANHAO";20241
"211080 SAO FELIX DE BALSAS";3172
"211085 SAO FRANCISCO DO BREJAO";4396
"211090 SAO FRANCISCO DO MARANHAO";8152
"211100 SAO JOAO BATISTA";12011
"211102 SAO JOAO DO CARU";7255
"211105 SAO JOAO DO PARAISO";6228
"211107 SAO JOAO DO SOTER";9057
