"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"150618 RONDON DO PARA";494,93;273,07;334,65;270,50;305,80;...;318,83
"150619 RUROPOLIS";271,24;226,09;170,72;223,30;254,89;...;234,48
"150620 SALINOPOLIS";516,43;245,33;361,38;360,28;261,22;...;383,95
"150630 SALVATERRA";361,72;266,34;338,01;267,15;558,60;...;279,61
"150635 SANTA BARBARA DO PARA";325,37;319,44;943,64;257,42;285,52;...;276,46
"150640 SANTA CRUZ DO ARARI";235,54;117,56;107,96;145,78;...;...;152,12
"150650 SANTA IZABEL DO PARA";485,86;285,31;980,09;351,31;257,38;...;377,73
"150655 SANTA LUZIA DO PARA";278,81;200,22;144,26;204,83;92,30;...;215,09
"150658 SANTA MARIA DAS BARREIRAS";296,56;231,62;327,58;232,23;118,78;...;248,43
"150660 SANTA MARIA DO PARA";379,22;265,36;1410,90;296,97;511,87;...;318,83
"150670 SANTANA DO ARAGUAIA";386,19;287,82;238,03;289,43;226,37;...;307,90
"150680 SANTAREM";619,16;328,15;497,11;343,82;167,50;...;398,30
"150690 SANTAREM NOVO";236,94;120,81;191,58;193,49;...;...;196,34
"150700 SANTO ANTONIO DO TAUA";426,55;314,81;808,99;281,02;114,58;...;317,73
"150710 SAO CAETANO DE ODIVELAS";255,17;269,76;349,10;238,82;...;...;243,04
"150715 SAO DOMINGOS DO ARAGUAIA";407,71;258,54;384,39;396,79;127,50;...;385,20
"150720 SAO DOMINGOS DO CAPIM";205,50;187,44;358,87;182,55;...;...;185,83
"150730 SAO FELIX DO XINGU";544,74;382,38;338,67;325,27;40,06;...;382,32
"150740 SAO FRANCISCO DO PARA";346,69;285,54;232,03;257,21;570,00;...;273,74
"150745 SAO GERALDO DO ARAGUAIA";440,10;303,72;269,12;280,28;84,81;...;317,65
"150746 SAO JOAO DA PONTA";230,41;204,71;163,48;193,60;510,00;...;196,84
"150747 SAO JOAO DE PIRABAS";252,05;195,80;105,82;203,27;...;...;211,02
"150750 SAO JOAO DO ARAGUAIA";296,26;241,72;219,91;193,42;233,33;...;214,22
"150760 SAO MIGUEL DO GUAMA";425,12;326,16;1213,22;274,58;1627,50;...;297,45
"150770 SAO SEBASTIAO DA BOA VISTA";230,99;627,20;129,43;190,01;...;...;202,54
"150775 SAPUCAIA";649,21;355,32;440,65;334,10;...;...;420,95
"150780 SENADOR JOSE PORFIRIO";271,41;270,85;182,78;195,19;132,13;...;209,30
"150790 SOURE";320,81;288,17;240,63;294,32;118,56;...;296,49
"150795 TAILANDIA";319,95;234,36;237,69;274,13;91,74;...;280,30
"150796 TERRA ALTA";243,82;199,56;316,29;237,23;...;...;237,44
"150797 TERRA SANTA";530,88;336,35;521,29;280,49;215,25;...;333,65
"150800 TOME-ACU";502,10;279,61;540,49;277,23;197,70;...;322,15
"150803 TRACUATEUA";322,41;212,78;55,67;167,56;...;...;186,61
"150805 TRAIRAO";399,18;256,61;242,21;297,53;132,29;...;315,20
"150808 TUCUMA";584,12;352,72;413,06;475,69;...;306,67;502,04
"150810 TUCURUI";833,40;446,47;696,66;416,10;182,93;...;526,45
"150812 ULIANOPOLIS";1309,86;238,49;201,75;298,55;-;...;543,09
"150815 URUARA";394,61;265,45;279,55;327,77;466,94;...;340,92
"150820 VIGIA";360,72;336,36;283,73;301,20;480,00;...;315,53
"150830 VISEU";250,73;136,34;125,37;140,94;151,08;...;157,36
"150835 VITORIA DO XINGU";368,07;206,87;244,27;325,55;84,04;...;320,55
"150840 XINGUARA";727,88;345,57;443,58;416,08;713,54;...;497,24
"160005 SERRA DO NAVIO";681,04;456,43;...;404,08;...;...;475,27
"160010 AMAPA";571,12;272,88;653,33;314,26;1100,00;...;354,65
"160015 PEDRA BRANCA DO AMAPARI";439,00;371,47;469,03;414,90;191,07;...;396,68
"160020 CALCOENE";460,31;382,80;385,05;380,04;...;...;395,38
"160021 CUTIAS";347,25;525,67;153,66;251,88;147,50;...;284,86
"160023 FERREIRA GOMES";521,53;454,32;397,26;373,69;675,95;...;412,66
"160025 ITAUBAL";183,49;151,81;1158,19;202,21;28,00;...;203,42
"160027 LARANJAL DO JARI";492,60;452,67;389,53;396,76;198,81;...;419,37
"160030 MACAPA";911,20;622,73;555,60;609,59;637,80;...;690,04
"160040 MAZAGAO";575,36;318,33;187,10;303,35;420,61;...;348,50
"160050 OIAPOQUE";1039,53;822,11;341,91;602,82;172,14;...;560,47
"160053 PORTO GRANDE";374,72;304,23;382,25;345,40;356,11;...;349,25
"160055 PRACUUBA";292,12;305,84;234,07;205,09;...;...;227,06
"160060 SANTANA";556,07;452,39;357,39;414,89;...;...;448,30
"160070 TARTARUGALZINHO";331,63;287,25;231,99;211,39;102,00;...;240,38
"160080 VITORIA DO JARI";297,01;378,18;229,07;289,73;...;...;297,28
"170025 ABREULANDIA";435,62;3532,99;341,93;378,73;895,00;...;615,87
"170030 AGUIARNOPOLIS";459,69;361,69;351,44;339,93;...;...;365,16
"170035 ALIANCA DO TOCANTINS";432,64;367,28;616,92;303,72;...;...;349,27
"170040 ALMAS";594,73;291,74;190,45;320,17;248,00;...;353,21
"170070 ALVORADA";702,06;375,61;290,41;474,86;...;...;535,21
"170100 ANANAS";476,98;288,42;436,46;352,51;355,00;...;378,14
"170105 ANGICO";346,35;281,64;255,86;272,03;...;...;288,07
"170110 APARECIDA DO RIO NEGRO";445,74;239,41;347,37;290,24;58,33;...;314,06
"170130 ARAGOMINAS";408,97;320,10;436,45;340,69;104,87;...;355,15
"170190 ARAGUACEMA";359,50;230,13;191,28;301,76;...;...;304,94
"170200 ARAGUACU";532,07;322,48;328,65;355,02;293,57;...;416,73
"170210 ARAGUAINA";1078,26;516,76;722,19;584,45;1021,91;...;716,22
"170215 ARAGUANA";417,35;293,84;361,30;357,28;204,71;...;362,25
"170220 ARAGUATINS";448,22;275,68;271,59;310,91;67,01;...;332,12
"170230 ARAPOEMA";593,92;418,53;539,00;376,06;170,00;...;431,95
"170240 ARRAIAS";1123,28;340,36;348,17;326,01;341,44;...;406,21
"170255 AUGUSTINOPOLIS";459,69;300,57;224,24;334,40;107,33;...;358,25
"170270 AURORA DO TOCANTINS";882,26;330,68;468,98;428,45;44500,00;...;531,77
"170290 AXIXA DO TOCANTINS";369,39;333,65;340,37;305,38;261,63;...;322,45
"170300 BABACULANDIA";392,55;289,50;332,84;284,46;500,00;...;308,27
"170305 BANDEIRANTES DO TOCANTINS";327,37;270,04;335,84;227,58;...;...;260,72
"170307 BARRA DO OURO";360,84;381,98;152,34;215,28;...;...;252,85
"170310 BARROLANDIA";362,64;283,63;1323,08;298,13;345,18;...;317,95
"170320 BERNARDO SAYAO";469,13;302,12;285,38;297,93;222,50;...;339,25
"170330 BOM JESUS DO TOCANTINS";444,11;304,74;323,04;363,45;236,67;...;374,91
"170360 BRASILANDIA DO TOCANTINS";399,17;468,32;671,09;424,67;...;...;423,33
"170370 BREJINHO DE NAZARE";920,15;345,32;574,40;335,74;336,67;...;410,89
"170380 BURITI DO TOCANTINS";310,18;300,72;214,20;267,46;190,13;...;278,94
"170382 CACHOEIRINHA";259,74;271,96;347,50;229,18;...;...;239,51
"170384 CAMPOS LINDOS";450,26;149,39;196,54;232,15;...;...;256,41
"170386 CARIRI DO TOCANTINS";552,42;393,70;646,38;378,60;...;...;423,77
"170388 CARMOLANDIA";385,81;326,49;235,88;380,79;...;...;371,22
"170389 CARRASCO BONITO";347,32;194,61;779,97;208,38;...;...;233,01
"170390 CASEARA";1057,22;284,13;304,90;346,05;...;...;442,28
"170410 CENTENARIO";338,51;215,48;61,72;265,50;...;...;275,94
"170460 CHAPADA DE AREIA";478,39;349,42;868,78;286,63;...;...;364,98
