Município,Renda média domic. per capita,Ano
211300 VITORINO FREIRE,"107,15",1991
211400 ZE DOCA,"84,18",1991
220010 AGRICOLANDIA,"57,96",1991
220020 AGUA BRANCA,"101,24",1991
220025 ALAGOINHA DO PIAUI,"86,38",1991
220030 ALTO LONGA,"67,65",1991
220040 ALTOS,"89,64",1991
220050 AMARANTE,"92,71",1991
220060 ANGICAL DO PIAUI,"103,97",1991
220070 ANISIO DE ABREU,"60,38",1991
220080 ANTONIO ALMEIDA,"48,36",1991
220090 AROAZES,"61,15",1991
220100 ARRAIAL,"73,29",1991
220110 AVELINO LOPES,"70,68",1991
220120 BARRAS,"68,42",1991
220130 BARREIRAS DO PIAUI,"83,15",1991
220140 BARRO DURO,"107,33",1991
220150 BATALHA,"57,51",1991
220160 BENEDITINOS,57,1991
220170 BERTOLINIA,"59,13",1991
220180 BOCAINA,"78,88",1991
220190 BOM JESUS,"134,78",1991
220200 BURITI DOS LOPES,"62,93",1991
220210 CAMPINAS DO PIAUI,"75,8",1991
220220 CAMPO MAIOR,"121,63",1991
220230 CANTO DO BURITI,"80,66",1991
220240 CAPITAO DE CAMPOS,"79,28",1991
220250 CARACOL,"66,19",1991
220260 CASTELO DO PIAUI,"82,69",1991
220270 COCAL,"62,44",1991
220280 CONCEICAO DO CANINDE,"50,71",1991
220290 CORRENTE,"114,96",1991
220300 CRISTALANDIA DO PIAUI,"66,44",1991
220310 CRISTINO CASTRO,"82,26",1991
220320 CURIMATA,"67,64",1991
220330 DEMERVAL LOBAO,"104,07",1991
220335 DIRCEU ARCOVERDE,"67,5",1991
220340 DOM EXPEDITO LOPES,"118,57",1991
220342 DOMINGOS MOURAO,"51,48",1991
220345 DOM INOCENCIO,"57,66",1991
220350 ELESBAO VELOSO,"77,27",1991
220360 ELISEU MARTINS,"74,14",1991
220370 ESPERANTINA,"87,05",1991
220380 FLORES DO PIAUI,"72,26",1991
220390 FLORIANO,"202,77",1991
220400 FRANCINOPOLIS,"59,33",1991
220410 FRANCISCO AYRES,"78,69",1991
220420 FRANCISCO SANTOS,"110,64",1991
220430 FRONTEIRAS,"96,26",1991
220440 GILBUES,"89,96",1991
220450 GUADALUPE,"139,04",1991
220460 HUGO NAPOLEAO,"58,7",1991
220470 INHUMA,"95,24",1991
220480 IPIRANGA DO PIAUI,"84,76",1991
220490 ISAIAS COELHO,"47,75",1991
220500 ITAINOPOLIS,"55,01",1991
220510 ITAUEIRA,"61,83",1991
220520 JAICOS,"77,53",1991
220530 JERUMENHA,"90,94",1991
220540 JOAQUIM PIRES,"60,81",1991
220550 JOSE DE FREITAS,"74,26",1991
220560 LANDRI SALES,"102,52",1991
220570 LUIS CORREIA,"63,36",1991
220580 LUZILANDIA,"65,37",1991
220590 MANOEL EMIDIO,"47,05",1991
220600 MARCOS PARENTE,"68,4",1991
220610 MATIAS OLIMPIO,"57,05",1991
220620 MIGUEL ALVES,"74,12",1991
220630 MIGUEL LEAO,"107,2",1991
220640 MONSENHOR GIL,"71,3",1991
220650 MONSENHOR HIPOLITO,"82,43",1991
220660 MONTE ALEGRE DO PIAUI,"96,24",1991
220670 NAZARE DO PIAUI,"57,24",1991
220680 NOSSA SENHORA DOS REMEDIOS,"50,43",1991
220690 NOVO ORIENTE DO PIAUI,"67,61",1991
220700 OEIRAS,"93,96",1991
220720 PADRE MARCOS,"72,93",1991
220730 PAES LANDIM,"55,04",1991
220740 PALMEIRA DO PIAUI,"55,79",1991
220750 PALMEIRAIS,"54,82",1991
220760 PARNAGUA,"63,55",1991
220770 PARNAIBA,"153,94",1991
220780 PAULISTANA,"69,29",1991
220790 PEDRO II,"70,14",1991
220800 PICOS,"162,95",1991
220810 PIMENTEIRAS,"75,33",1991
220820 PIO IX,"69,91",1991
220830 PIRACURUCA,"92,49",1991
220840 PIRIPIRI,"102,54",1991
220850 PORTO,"53,6",1991
220860 PRATA DO PIAUI,"66,04",1991
220870 REDENCAO DO GURGUEIA,"58,73",1991
220880 REGENERACAO,"73,25",1991
220890 RIBEIRO GONCALVES,"73,64",1991
220900 RIO GRANDE DO PIAUI,"86,06",1991
220910 SANTA CRUZ DO PIAUI,"54,54",1991
220920 SANTA FILOMENA,"85,25",1991
220930 SANTA LUZ,"66,1",1991
220940 SANTO ANTONIO DE LISBOA,"156,42",1991
220950 SANTO INACIO DO PIAUI,"62,43",1991
220960 SAO FELIX DO PIAUI,"70,17",1991
220970 SAO FRANCISCO DO PIAUI,"38,62",1991
220980 SAO GONCALO DO PIAUI,"99,22",1991
220985 SAO JOAO DA CANABRAVA,"64,01",1991
220990 SAO JOAO DA SERRA,"44,62",1991
221000 SAO JOAO DO PIAUI,"74,85",1991
221010 SAO JOSE DO PEIXE,"70,93",1991
221020 SAO JOSE DO PIAUI,"78,95",1991
221030 SAO JULIAO,"92,25",1991
221040 SAO MIGUEL DO TAPUIO,"51,75",1991
221050 SAO PEDRO DO PIAUI,"76,14",1991
221060 SAO RAIMUNDO NONATO,"104,95",1991
221070 SIMOES,"84,33",1991
221080 SIMPLICIO MENDES,"120,67",1991
221090 SOCORRO DO PIAUI,"80,27",1991
221100 TERESINA,"287,46",1991
221110 UNIAO,"83,08",1991
221120 URUCUI,"95,25",1991
221130 VALENCA DO PIAUI,"125,52",1991
221140 VARZEA GRANDE,"64,41",1991
230010 ABAIARA,"64,15",1991
230015 ACARAPE,"86,72",1991
230020 ACARAU,"102,4",1991
230030 ACOPIARA,"80,72",1991
230040 AIUABA,"57,72",1991
230050 ALCANTARAS,"70,06",1991
230060 ALTANEIRA,"67,28",1991
230070 ALTO SANTO,"95,17",1991
230075 AMONTADA,"60,29",1991
230080 ANTONINA DO NORTE,"82,64",1991
230090 APUIARES,"64,82",1991
230100 AQUIRAZ,"115,55",1991
230110 ARACATI,"116,98",1991
230120 ARACOIABA,"83,7",1991
230130 ARARIPE,"60,75",1991
230140 ARATUBA,"87,27",1991
230150 ARNEIROZ,"53,85",1991
230160 ASSARE,"72,82",1991
230170 AURORA,"92,76",1991
230180 BAIXIO,"53,15",1991
230185 BANABUIU,"69,82",1991
230190 BARBALHA,"121,19",1991
230195 BARREIRA,"93,75",1991
230200 BARRO,"71,59",1991
230205 BARROQUINHA,"57,07",1991
230210 BATURITE,"112,67",1991
230220 BEBERIBE,"88,52",1991
230230 BELA CRUZ,"84,78",1991
230240 BOA VIAGEM,"72,19",1991
230250 BREJO SANTO,"144,61",1991
230260 CAMOCIM,"95,77",1991
230270 CAMPOS SALES,"102,09",1991
230280 CANINDE,"95,02",1991
230290 CAPISTRANO,"76,45",1991
230300 CARIDADE,"77,55",1991
230310 CARIRE,"88,01",1991
230320 CARIRIACU,"60,52",1991
230330 CARIUS,"89,09",1991
230340 CARNAUBAL,"64,82",1991
230350 CASCAVEL,"98,69",1991
230360 CATARINA,"97,57",1991
230370 CAUCAIA,"143,56",1991
230380 CEDRO,"133,84",1991
230390 CHAVAL,"70,58",1991
230395 CHOROZINHO,"96,19",1991
230400 COREAU,"89,22",1991
230410 CRATEUS,"124,88",1991
230420 CRATO,"184,88",1991
230423 CROATA,"51,89",1991
230425 CRUZ,"90,67",1991
230426 DEPUTADO IRAPUAN PINHEIRO,"84,98",1991
230427 ERERE,"90,1",1991
230428 EUSEBIO,"164,65",1991
230430 FARIAS BRITO,"76,68",1991
230435 FORQUILHA,"93,46",1991
230440 FORTALEZA,"374,97",1991
230450 FRECHEIRINHA,"89,55",1991
230460 GENERAL SAMPAIO,"74,13",1991
230465 GRACA,"44,93",1991
230470 GRANJA,"74,79",1991
230480 GRANJEIRO,"53,08",1991
230490 GROAIRAS,"88,47",1991
230495 GUAIUBA,"89,71",1991
230500 GUARACIABA DO NORTE,"86,4",1991
230510 GUARAMIRANGA,"86,25",1991
230520 HIDROLANDIA,"61,63",1991
230523 HORIZONTE,"117,03",1991
230526 IBARETAMA,"62,42",1991
230530 IBIAPINA,"66,45",1991
230533 IBICUITINGA,"70,27",1991
230535 ICAPUI,"128,87",1991
230540 ICO,"89,93",1991
230550 IGUATU,"177,79",1991
230560 INDEPENDENCIA,"80,24",1991
230565 IPAPORANGA,"64,7",1991
230570 IPAUMIRIM,"74,1",1991
230580 IPU,90,1991
230590 IPUEIRAS,"73,34",1991
230600 IRACEMA,"75,79",1991
230610 IRAUCUBA,"71,03",1991
230620 ITAICABA,"76,01",1991
230630 ITAPAGE,"107,36",1991
230640 ITAPIPOCA,"76,17",1991
230650 ITAPIUNA,"67,87",1991
230655 ITAREMA,"83,98",1991
230660 ITATIRA,"57,99",1991
230670 JAGUARETAMA,"80,67",1991
230680 JAGUARIBARA,"116,83",1991
230690 JAGUARIBE,"112,35",1991
230700 JAGUARUANA,"99,57",1991
230710 JARDIM,"74,3",1991
230720 JATI,"79,84",1991
230730 JUAZEIRO DO NORTE,"172,26",1991
230740 JUCAS,"65,55",1991
230750 LAVRAS DA MANGABEIRA,"83,88",1991
230760 LIMOEIRO DO NORTE,"134,53",1991
230763 MADALENA,"62,47",1991
230765 MARACANAU,"133,23",1991
230770 MARANGUAPE,"113,89",1991
230780 MARCO,"82,5",1991
230790 MARTINOPOLE,"74,02",1991
230800 MASSAPE,"80,16",1991
230810 MAURITI,"66,81",1991
230820 MERUOCA,"67,58",1991
230830 MILAGRES,"91,48",1991
230835 MILHA,"53,89",1991
230837 MIRAIMA,"53,21",1991
230840 MISSAO VELHA,"86,58",1991
230850 MOMBACA,"78,69",1991
230860 MONSENHOR TABOSA,"60,35",1991
230870 MORADA NOVA,"95,66",1991
