Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
150650 SANTA IZABEL DO PARA,"208,4","183,57","1052,07","159,99","81,84","91,88","180,95",1991
150658 SANTA MARIA DAS BARREIRAS,"417,11","224,76",...,"175,29","21,08","190,4","220,06",1991
150660 SANTA MARIA DO PARA,"177,48","112,5","2483,71","173,9",...,"94,51","184,93",1991
150670 SANTANA DO ARAGUAIA,"157,1","133,86","275,5","150,15","56,88","225,31","152,14",1991
150680 SANTAREM,"211,33","134,43","429,98","143,3","67,92","107,3","157,82",1991
150690 SANTAREM NOVO,"396,54","54,22",...,"101,04",...,"35,55","126,86",1991
150700 SANTO ANTONIO DO TAUA,"134,29","95,94","1301,53","102,64",...,"190,68","117,36",1991
150710 SAO CAETANO DE ODIVELAS,"113,12","99,21",...,"104,19",...,"103,41","104,97",1991
150720 SAO DOMINGOS DO CAPIM,"165,16","105,72","96,91","121,64","158,7","116,98","127,33",1991
150730 SAO FELIX DO XINGU,"246,37","166,98","146,42","193,5",-,"95,85","199,24",1991
150740 SAO FRANCISCO DO PARA,"230,72",99,"272,9","144,46",...,...,"162,49",1991
150745 SAO GERALDO DO ARAGUAIA,"116,32","70,11","194,84","95,37","70,91","37,09","98,77",1991
150747 SAO JOAO DE PIRABAS,"104,62","72,67",378,"100,49","88,33","40,66","100,74",1991
150750 SAO JOAO DO ARAGUAIA,"127,36","120,19","100,92","105,19",...,"163,85","111,95",1991
150760 SAO MIGUEL DO GUAMA,"209,09","99,47","128,19","135,69",...,"100,64","140,52",1991
150770 SAO SEBASTIAO DA BOA VISTA,"121,96","68,71",...,"100,59",...,"205,55","102,8",1991
150780 SENADOR JOSE PORFIRIO,"137,65","133,27","52,19","136,22","22,6",...,"134,85",1991
150790 SOURE,"364,91","136,03","157,27","149,32",...,"290,35","161,79",1991
150795 TAILANDIA,"537,57","102,74",...,"175,37",...,"75,13","237,64",1991
150800 TOME-ACU,"177,23","114,6","501,68","123,03","64,99","225,23","140,61",1991
150808 TUCUMA,"284,89","326,27",...,"184,16","80,74","114,02","219,21",1991
150810 TUCURUI,"254,19","146,75","71,38","156,64","57,3","102,67","177,07",1991
150815 URUARA,"200,6","107,74","160,13","126,23","79,85","72,97","151,04",1991
150820 VIGIA,"140,8","82,95","175,74","120,78",...,"54,58","125,53",1991
150830 VISEU,"124,07","88,37","121,75","79,87","66,31","61,63","84,19",1991
150840 XINGUARA,"281,93","209,41","65,61","264,41","41,59","251,6","268,13",1991
160010 AMAPA,"157,25","63,88",...,"152,19","15,43",...,"150,56",1991
160020 CALCOENE,"212,72","209,59",...,"185,2",...,...,"194,29",1991
160023 FERREIRA GOMES,"117,66","35,66",...,"118,1",...,...,"108,52",1991
160027 LARANJAL DO JARI,"256,51","243,05","121,15","220,54","22,9",...,"227,65",1991
160030 MACAPA,"463,48","262,77","1467,84","313,31","9,93",...,"345,74",1991
160040 MAZAGAO,"112,99","71,92","361,59","134,87",...,...,"130,35",1991
160050 OIAPOQUE,"348,07","299,42",...,"344,68","98,08",...,"260,04",1991
160060 SANTANA,"296,06","506,88",...,"179,8","195,4",...,"218,99",1991
160070 TARTARUGALZINHO,"650,5","68,67","16,79","112,35",...,...,"132,24",1991
170035 ALIANCA DO TOCANTINS,"183,18","88,53","47,01","132,93",...,"79,68","140,5",1991
170040 ALMAS,"132,94","51,61",...,"94,94","322,35",...,"93,4",1991
170070 ALVORADA,"513,54","108,31",174,"215,48","65,82","111,64","301,77",1991
170100 ANANAS,"120,55","78,92",...,"103,66",...,"49,52","104,83",1991
170110 APARECIDA DO RIO NEGRO,"218,49","81,99",...,"103,3",...,"213,87","128,34",1991
170190 ARAGUACEMA,"103,31","81,14",...,"125,29",...,"72,53","122,29",1991
170200 ARAGUACU,"191,39","111,7","88,81","144,51",...,"224,42","161,82",1991
170210 ARAGUAINA,"437,38","162,98","701,99","217,68","186,68","108,76","273,6",1991
170220 ARAGUATINS,"111,62","65,78",...,"94,43","18,78",...,"94,95",1991
170230 ARAPOEMA,"196,64","105,79",...,"143,27",...,...,"157,34",1991
170240 ARRAIAS,"332,03","145,55","728,28","162,18",...,"118,03","175,99",1991
170255 AUGUSTINOPOLIS,"180,51","110,25","84,44","113,22","27,82","158,92","122,8",1991
170270 AURORA DO TOCANTINS,"187,87","61,43",...,"93,31",...,...,"101,88",1991
170290 AXIXA DO TOCANTINS,"73,09","60,33","437,53","69,69","75,23","116,09","70,11",1991
170300 BABACULANDIA,"71,92","68,97","27,12","88,05",...,"170,88","86,49",1991
170310 BARROLANDIA,"141,55","87,48",...,"127,84","53,99",...,"130,51",1991
170320 BERNARDO SAYAO,"85,37","62,94",...,"125,49",...,"123,54","104,78",1991
170370 BREJINHO DE NAZARE,"251,55","69,71",...,"96,63",...,"27,7","113,71",1991
170380 BURITI DO TOCANTINS,"122,5","50,72","40,65","78,01",...,"94,83","81,74",1991
170390 CASEARA,"102,49","165,14","80,05","163,39",...,...,"161,74",1991
170550 COLINAS DO TOCANTINS,"372,31","136,42","1218,39","183,64",...,...,"229,65",1991
170555 COMBINADO,"161,81","91,09",...,"123,03",...,...,"121,68",1991
170560 CONCEICAO DO TOCANTINS,"201,63","88,95","482,02","81,79",...,...,"97,3",1991
170600 COUTO MAGALHAES,"138,35","76,51",...,"80,46","41,5","73,39","114,18",1991
170610 CRISTALANDIA,"359,61","89,07","30,75","171,38","84,3","439,74","199,83",1991
170700 DIANOPOLIS,"335,76","144,58","76,11","166,45",...,"69,68","192,57",1991
170710 DIVINOPOLIS DO TOCANTINS,"128,34","46,3",...,"132,02",...,"106,42","127,71",1991
170720 DOIS IRMAOS DO TOCANTINS,"136,12","100,16","86,8","89,89",...,"76,58","99,38",1991
170730 DUERE,"143,3","112,96",...,"124,14",...,...,"131,72",1991
170755 FATIMA,"187,48","315,14",...,"146,73",...,"89,79","155,17",1991
170765 FIGUEIROPOLIS,"190,9","81,79",...,"139,46","29,23","101,29","152,6",1991
170770 FILADELFIA,"156,71","57,89","109,88","93,41",...,"129,27","106,2",1991
170820 FORMOSO DO ARAGUAIA,"209,52","120,02",...,"135,93","91,8",...,"150,76",1991
170830 GOIANORTE,"165,24","64,24",...,"129,74","34,59",...,"143,49",1991
170900 GOIATINS,"99,49","59,86","88,52","102,25","17,56","16,98","96,96",1991
170930 GUARAI,"316,98","181,09","416,51",170,"65,49",...,"211,99",1991
170950 GURUPI,"566,57","288,04","115,16","288,07","98,41","221,53","383,43",1991
171050 ITACAJA,"95,23","60,75","108,89","79,59","18,01",...,"80,89",1991
171070 ITAGUATINS,"124,66","93,48",...,"74,35","105,88",...,"90,39",1991
171110 ITAPORA DO TOCANTINS,"152,45","124,44",...,"104,63",...,...,"123,88",1991
171240 LIZARDA,"161,72","55,6","135,3","102,94","24,36",...,"106,26",1991
171250 MARIANOPOLIS DO TOCANTINS,"121,78","116,53",...,"117,91",...,"110,66","118,12",1991
171320 MIRACEMA DO TOCANTINS,"645,17","125,18","120,66","239,31","159,7","149,11","372,57",1991
171330 MIRANORTE,"355,54","120,21","509,68","176,27","281,63",136,"252,44",1991
171360 MONTE DO CARMO,"233,6","75,66",...,"114,45","96,87","41,84","123,15",1991
171420 NATIVIDADE,"285,31","108,79","71,11","104,18",...,"94,47","128,62",1991
171430 NAZARE,"89,7","68,1","20,07","64,6","20,83","46,44","70,9",1991
171488 NOVA OLINDA,"170,85","120,76",...,116,...,...,"143,12",1991
171500 NOVA ROSALANDIA,"205,49","125,48",...,"136,57",...,...,"144,57",1991
171510 NOVO ACORDO,"66,17","61,94",...,"89,43",...,"239,79","86,17",1991
171575 PALMEIROPOLIS,"289,47","116,63","231,25","164,72","133,44",...,"209,49",1991
171610 PARAISO DO TOCANTINS,"442,8","296,57","30,77","403,96",...,"487,38","411,32",1991
171620 PARANA,"490,79","85,65","18,84","108,15",...,"43,69","115,95",1991
171650 PEDRO AFONSO,"222,91",194,"34,57","157,64",...,...,"167,81",1991
171660 PEIXE,"146,95","68,7",...,"123,37",...,...,"122,87",1991
171665 PEQUIZEIRO,"153,09","78,16",...,"106,71",...,"84,49","124,02",1991
171670 COLMEIA,"243,63","103,75","82,49","154,84",...,...,"178,83",1991
171700 PINDORAMA DO TOCANTINS,"234,72","38,94",...,"119,45","70,88",...,"129,35",1991
171750 PIUM,"216,86","92,65",...,135,...,"289,86","149,63",1991
171780 PONTE ALTA DO BOM JESUS,"209,03","69,71",...,"70,28",...,"49,76","86,2",1991
171790 PONTE ALTA DO TOCANTINS,"179,16","36,52",...,"87,06",...,"33,35","97,09",1991
171800 PORTO ALEGRE DO TOCANTINS,"134,57","81,42",...,"96,88",...,...,"104,5",1991
171820 PORTO NACIONAL,"362,62","95,98","1628,51","210,17","182,61","184,35","240,32",1991
171830 PRAIA NORTE,"55,35","82,11","50,31","93,59","87,75",...,"88,57",1991
171840 PRESIDENTE KENNEDY,"230,41","102,41","38,86","133,42","63,44",...,"150,08",1991
171875 RIO SONO,"108,83","87,89",...,"111,01",...,"97,56","108,11",1991
171880 SAMPAIO,"58,43","31,27",...,"44,19",...,...,"44,48",1991
171890 SANTA ROSA DO TOCANTINS,"160,46","92,52",29,"120,35","105,94","70,92","114,46",1991
171900 SANTA TEREZA DO TOCANTINS,"134,43","30,91",...,"71,76",...,"15,05","82,05",1991
172030 SAO SEBASTIAO DO TOCANTINS,"238,1","73,64","18,28","77,59",...,"27,76","87,07",1991
172049 SAO VALERIO,"189,61","101,93",...,"114,34",...,...,"127,32",1991
172065 SILVANOPOLIS,"202,43","70,36",...,"134,82",...,...,"126,84",1991
172080 SITIO NOVO DO TOCANTINS,"83,24","69,89","207,99","75,7",...,...,"76,68",1991
172090 TAGUATINGA,"263,48","73,72","60,47","84,63",...,"53,14","110,39",1991
172100 PALMAS,"563,06","206,83","241,86","285,31",...,"194,65","383,52",1991
172110 TOCANTINIA,"246,54","134,23",...,"186,62","40,71","68,39","176,34",1991
172120 TOCANTINOPOLIS,"185,8","341,99","35,39","109,46","35,58","117,03","130,89",1991
172208 WANDERLANDIA,"147,06","80,67",...,"120,36","123,8","108,33","125,4",1991
172210 XAMBIOA,"155,23","106,11","268,28","166,02","70,31","85,99","159,1",1991
210005 ACAILANDIA,"274,25","120,91","146,86","160,63",...,"126,67","183,98",1991
210010 AFONSO CUNHA,81,"48,1",...,"53,94",...,...,"54,12",1991
210020 ALCANTARA,"97,02","91,63","20,17","84,58","55,93","137,61","86,88",1991
210030 ALDEIAS ALTAS,"71,2","91,69",...,"73,28",...,"68,88","74,78",1991
210040 ALTAMIRA DO MARANHAO,"66,07","62,24","60,32","70,24",...,"49,37","68,91",1991
210050 ALTO PARNAIBA,"182,41","84,14",...,"79,55",...,...,"115,54",1991
210060 AMARANTE DO MARANHAO,"119,5","201,13","131,55","97,08","34,21","84,6","97,28",1991
210070 ANAJATUBA,"83,29","50,56",...,"58,48",...,"49,74","67,33",1991
210080 ANAPURUS,"70,67","64,86","57,81","71,69",...,"40,68","71,05",1991
210090 ARAIOSES,"82,73","63,38",...,"66,88",...,"75,04","68,65",1991
210095 ARAME,"95,67","81,84","48,08","70,77","32,97","95,72","74,22",1991
210100 ARARI,"129,46","71,79","109,43","70,69","32,63","76,86","93,97",1991
210110 AXIXA,"126,3","72,21","24,76","78,9",...,"54,39","82,76",1991
210120 BACABAL,"166,15","102,65",...,"94,17","139,47","68,61","112,56",1991
210130 BACURI,"83,54","57,87",...,"66,58",...,"164,66","66,14",1991
210140 BALSAS,"188,87","66,69","438,74","91,78","170,74","171,43","112,93",1991
210150 BARAO DE GRAJAU,"104,58","74,54",...,"65,72",...,"99,57","73,58",1991
