Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
350010 ADAMANTINA,"1072,26","610,4","1313,01","589,57",580,...,"963,25",2010
350020 ADOLFO,"658,65","662,54",960,"529,49",...,...,"640,44",2010
350030 AGUAI,"731,02","402,48","1249,77","400,23","470,79",...,"625,51",2010
350040 AGUAS DA PRATA,"940,84","516,32","3549,39","516,85","995,6",...,"846,96",2010
350050 AGUAS DE LINDOIA,"735,98","537,19","1301,38","485,24","565,26",...,"703,69",2010
350055 AGUAS DE SANTA BARBARA,"890,18","508,11","696,69","533,55",350,...,"797,97",2010
350060 AGUAS DE SAO PEDRO,"1673,24","540,72","4350,51","704,15",...,...,1568,2010
350070 AGUDOS,"711,04","527,54","450,18","461,67","833,33",...,"627,75",2010
350075 ALAMBARI,"603,63","349,47","1833,31","389,99",...,...,"551,24",2010
350080 ALFREDO MARCONDES,"587,65","509,51","451,06","497,67",...,...,"553,23",2010
350090 ALTAIR,"724,43","482,9","1187,34","485,59",...,...,"612,33",2010
350100 ALTINOPOLIS,"815,63","551,97","1115,13","516,64",333,...,"727,45",2010
350110 ALTO ALEGRE,"570,22","414,41","1158,06","456,24","270,6",...,"541,25",2010
350115 ALUMINIO,"785,16","663,41","1311,08","673,82","615,65",...,"740,83",2010
350120 ALVARES FLORENCE,"672,62","469,99","461,9","460,43",...,...,"623,12",2010
350130 ALVARES MACHADO,"773,48","553,48","1231,74","431,25","651,57",...,"660,23",2010
350140 ALVARO DE CARVALHO,"586,77","363,86","424,98","464,95",...,...,"506,46",2010
350150 ALVINLANDIA,"951,55","406,03","435,57","413,83",...,...,"707,58",2010
350160 AMERICANA,"1242,05","750,57","1456,15","710,97","588,63","312,77","1133,46",2010
350170 AMERICO BRASILIENSE,"710,83","663,7","1079,68","564,39",...,...,"651,51",2010
350180 AMERICO DE CAMPOS,"723,29","545,05","788,04","495,51",...,...,"683,18",2010
350190 AMPARO,"1126,24","574,92","730,47","563,07","1048,93",143,"1002,82",2010
350200 ANALANDIA,"851,42","491,98","1311,85","798,34","403,41",...,"820,25",2010
350210 ANDRADINA,1030,"590,96","995,14","735,38",780,...,"907,91",2010
350220 ANGATUBA,"623,93","406,67","220,58","487,31","437,52",...,"595,94",2010
350230 ANHEMBI,"592,93","399,39","907,01","426,28","201,61",...,"549,16",2010
350240 ANHUMAS,"677,08",394,"441,95","356,76",172,...,"558,65",2010
350250 APARECIDA,"829,43","609,41","1278,92","558,77",1400,...,"752,06",2010
350260 APARECIDA D'OESTE,"624,51","433,41","5188,98","428,39",550,...,"608,31",2010
350270 APIAI,"647,32","375,07","573,1","340,87",...,...,"483,31",2010
350275 ARACARIGUAMA,"790,29","577,79","1087,61","531,04","644,94",...,"685,39",2010
350280 ARACATUBA,"1161,07","587,43","1414,09","640,04","810,6",...,"993,33",2010
350290 ARACOIABA DA SERRA,"934,06","546,04","688,79","523,29","411,69",...,"835,01",2010
350300 ARAMINA,"818,02","549,51","805,67","595,49",1230,...,"717,31",2010
350310 ARANDU,"582,31","482,56","1140,33","430,73","458,67",...,"530,51",2010
350315 ARAPEI,"471,49","290,55",...,"338,25",...,...,"410,83",2010
350320 ARARAQUARA,"1217,33","650,31","1857,5","602,68","1339,45",...,"1061,45",2010
350330 ARARAS,"1041,41","573,76","2475,39","536,39","662,31","1035,7","910,26",2010
350335 ARCO-IRIS,"605,21","496,93","1238,73","426,15","176,59",...,"509,28",2010
350340 AREALVA,"748,77","447,68","1387,27","495,46","383,11",408,"692,79",2010
350350 AREIAS,"460,31","266,97","1033,55","305,12",...,...,"384,13",2010
350360 AREIOPOLIS,"602,44","571,9","422,97","495,06","162,5",...,"559,6",2010
350370 ARIRANHA,"793,08","544,47","1175,37","626,21",448,...,"747,52",2010
350380 ARTUR NOGUEIRA,"937,99","726,34","1104,6","557,45","543,53",...,"810,8",2010
350390 ARUJA,"1113,61","616,15","1386,26","533,49","483,85",...,"873,71",2010
350395 ASPASIA,"653,72","439,18","843,27","451,03",...,...,"590,7",2010
350400 ASSIS,"1051,1","591,95","1257,39","600,25","915,61",...,"945,04",2010
350410 ATIBAIA,"1158,81","635,74","1788,74","555,51","702,17",...,"1020,29",2010
350420 AURIFLAMA,"907,59","586,29","848,15","554,36","427,5",...,"820,21",2010
350430 AVAI,"586,75","579,49","1626,18","416,28","229,38",...,"511,25",2010
350440 AVANHANDAVA,"668,11","431,55","879,8","424,01",...,...,"558,86",2010
350450 AVARE,"943,4","553,23","924,89","547,06","507,56",...,"847,72",2010
350460 BADY BASSITT,"823,69","685,63","660,68","623,45","475,99",...,"777,11",2010
350470 BALBINOS,"609,49","372,6","264,33","606,15",185,...,"586,3",2010
350480 BALSAMO,"880,81","510,12","983,1","647,95","831,06",...,"828,6",2010
350490 BANANAL,"765,86","372,74",346,"387,66","3088,33",...,"586,07",2010
350500 BARAO DE ANTONINA,"526,63","220,52","636,04","592,96","403,75",...,"532,12",2010
350510 BARBOSA,"584,12","496,19","1565,87","445,94","466,67",...,"527,94",2010
350520 BARIRI,"847,73","506,59","844,12","484,66","388,94",...,"771,49",2010
350530 BARRA BONITA,"1009,86","704,1","980,68","565,61",400,...,"903,18",2010
350535 BARRA DO CHAPEU,"500,66","313,09","208,73","264,2",...,...,"364,58",2010
350540 BARRA DO TURVO,"458,85","422,45","352,85","338,02","96,69",...,"387,49",2010
350550 BARRETOS,"1067,89","580,67","1126,87","606,09","631,18",...,"906,32",2010
350560 BARRINHA,"771,25","583,97","1302,75","553,73","780,07",...,"655,94",2010
350570 BARUERI,"1437,43","622,13","1252,74","571,46","671,59","120,31","1038,11",2010
350580 BASTOS,"607,11","428,2","1046,71","478,78",280,...,"601,88",2010
350590 BATATAIS,"1000,56","615,07","1024,75","559,69","795,64",...,"888,38",2010
350600 BAURU,"1338,01","630,32","1498,13","616,51","1090,36",...,"1141,43",2010
350610 BEBEDOURO,"996,26","545,92","1554,25","529,69","740,64",...,"865,12",2010
350620 BENTO DE ABREU,"675,37","686,28","1146,76","590,88",...,...,"641,17",2010
350630 BERNARDINO DE CAMPOS,"720,1","442,67","2319,05","440,76",...,...,"673,1",2010
350635 BERTIOGA,"929,65","512,17","863,57","545,72","665,14","8,48","727,67",2010
350640 BILAC,"917,59","648,47","906,09","504,96",...,...,"812,83",2010
350650 BIRIGUI,"887,2","573,49","1044,58","562,97","466,65",...,"797,41",2010
350660 BIRITIBA-MIRIM,"611,5","456,06","2657,68",421,"207,83",...,"654,17",2010
350670 BOA ESPERANCA DO SUL,"674,3","447,7","1053,71","429,15",...,...,"579,16",2010
350680 BOCAINA,"869,72","585,68","715,5","568,88","270,8",...,"795,08",2010
350690 BOFETE,"664,07","501,29","564,81","434,26",...,...,"601,12",2010
350700 BOITUVA,"991,73","578,4","1228,71","600,12","597,57",...,"878,88",2010
350710 BOM JESUS DOS PERDOES,"625,53","578,6","717,01","493,74",7000,...,"599,27",2010
350715 BOM SUCESSO DE ITARARE,"375,38","292,77",...,"290,37",...,...,"342,68",2010
350720 BORA,"571,01","545,73",13000,"567,16",...,...,"676,11",2010
350730 BORACEIA,"779,13","598,56","492,55","488,37",...,...,"708,05",2010
350740 BORBOREMA,"703,72","580,8","476,81","497,01","593,71",...,"659,84",2010
350745 BOREBI,"587,82","344,61","317,35","436,46","199,18",...,"523,27",2010
350750 BOTUCATU,"1171,91","648,88","1928,03","591,24","885,02",...,"1051,31",2010
350760 BRAGANCA PAULISTA,"1019,48","600,5","1487,33","587,91","2184,79",...,"939,3",2010
350770 BRAUNA,"830,05","521,49","1996,35","554,19","470,79",...,"722,21",2010
350775 BREJO ALEGRE,"699,4","499,17","1395,05","517,04","385,98",...,"628,13",2010
350780 BRODOWSKI,"854,92","601,71","1358,32","548,99",470,...,"777,29",2010
350790 BROTAS,"802,86","510,11","725,69","484,55","408,22",...,"711,01",2010
350800 BURI,"465,09","238,76","280,43","309,51",510,...,"424,66",2010
350810 BURITAMA,"828,5","625,68","934,47","571,8","409,37",...,"753,97",2010
350820 BURITIZAL,"929,75","532,98","349,91","535,82",...,...,"815,22",2010
350830 CABRALIA PAULISTA,"550,16","387,31","380,13","391,21",...,"393,33","501,14",2010
350840 CABREUVA,"786,13","531,17","682,41","544,53","270,72","176,66","685,66",2010
350850 CACAPAVA,"956,61","522,09","846,56","610,08","1163,63",...,"856,31",2010
350860 CACHOEIRA PAULISTA,"852,75","597,21",...,"534,82","257,5",...,"754,45",2010
350870 CACONDE,"729,33","373,25","473,15","383,97","790,84",...,"624,02",2010
350880 CAFELANDIA,"745,49","463,21","592,41","480,42",...,...,"653,4",2010
350890 CAIABU,"568,51","505,5","1176,92","509,81",...,...,"552,58",2010
350900 CAIEIRAS,"926,07","679,39","702,09","565,18","631,94",...,"787,38",2010
350910 CAIUA,"583,56","347,38","946,5","408,5",...,...,494,2010
350920 CAJAMAR,"692,19","472,27","1130,4","512,83",465,...,"610,09",2010
350925 CAJATI,"539,07","484,32","2512,71","353,79","462,73",...,"468,5",2010
350930 CAJOBI,"748,95","523,29","387,5","511,17","618,67",...,"674,26",2010
350940 CAJURU,"650,9","411,35","609,37","457,18",50,...,"593,36",2010
350945 CAMPINA DO MONTE ALEGRE,"557,27","435,58","1997,89","384,17",760,...,"516,85",2010
350950 CAMPINAS,"1614,35","741,66","1837,48","676,42","1119,9","347,28","1320,21",2010
350960 CAMPO LIMPO PAULISTA,"831,99","654,14","1994,26","575,06","817,14",...,"757,57",2010
350970 CAMPOS DO JORDAO,"925,39","403,67","1760,93","557,44","3396,62",...,"859,92",2010
350980 CAMPOS NOVOS PAULISTA,"559,28","307,11",510,"358,34",...,...,"499,45",2010
350990 CANANEIA,"610,48","408,86","978,44","412,08","193,39",...,"531,63",2010
350995 CANAS,"495,9","398,42","264,83","347,68","833,33",...,"434,22",2010
351000 CANDIDO MOTA,"668,47",438,"504,77","479,01","1097,8",...,"618,77",2010
351010 CANDIDO RODRIGUES,"905,8","492,06","335,71","394,84",...,...,"831,88",2010
351015 CANITAR,"514,56","449,43","744,19","409,62",...,...,"474,95",2010
351020 CAPAO BONITO,"563,52","476,2","1270,76","383,7","382,5",...,"531,2",2010
351030 CAPELA DO ALTO,"544,53","534,6","685,25","436,91",372,...,"521,29",2010
351040 CAPIVARI,"922,55","593,67","458,09","491,43","288,32",...,"800,99",2010
351050 CARAGUATATUBA,"841,15","507,26","1003,65","559,75","701,61",...,"746,56",2010
351060 CARAPICUIBA,"752,71","591,26","790,62","542,97","653,16","189,79","654,85",2010
351070 CARDOSO,"687,55","434,33","473,13","446,46",...,...,"589,7",2010
351080 CASA BRANCA,"837,69","448,31","701,84","417,68","1590,33",...,"700,14",2010
351090 CASSIA DOS COQUEIROS,"598,37","313,32","891,99","431,27",...,...,"548,03",2010
351100 CASTILHO,"633,67","423,48","1560,7","462,01","1033,33",...,"568,34",2010
351110 CATANDUVA,"1024,47","566,51","1104,04","620,96","898,27",...,"928,94",2010
351120 CATIGUA,"811,86","493,03","579,65","695,86",...,...,"768,15",2010
351130 CEDRAL,"864,27","1183,32","775,26","546,2",...,...,"831,19",2010
351140 CERQUEIRA CESAR,"697,58","529,06","585,45","479,64",475,...,"655,56",2010
351150 CERQUILHO,"954,06","756,84","1170,9","630,36","461,6",...,"887,21",2010
351160 CESARIO LANGE,"737,76","532,85","718,98","490,36",290,...,"680,03",2010
351170 CHARQUEADA,"752,08","510,07","461,75","538,57","227,5",...,"691,05",2010
351190 CLEMENTINA,"715,93","520,6","616,26","528,02","317,81",...,"636,14",2010
351200 COLINA,"857,86","473,94",635,"472,96",189,...,"700,24",2010
351210 COLOMBIA,"638,32","467,08","936,82","509,74",425,...,"578,14",2010
351220 CONCHAL,"688,15","394,21","1390,14","416,96",...,...,"601,14",2010
351230 CONCHAS,"774,48","463,73","189,93","430,09","277,74",...,"712,9",2010
351240 CORDEIROPOLIS,"948,71","629,55","831,87","567,96",596,...,"851,13",2010
351250 COROADOS,"663,42","646,87","579,83","564,82",...,...,"636,8",2010
351260 CORONEL MACEDO,"499,2","334,72","549,11","335,49",480,...,"460,11",2010
351270 CORUMBATAI,"826,46","383,37","656,65","469,4",...,...,"730,48",2010
351280 COSMOPOLIS,"902,36","649,25","1291,07","608,53","1079,76",...,"787,69",2010
351290 COSMORAMA,"661,83","512,89",...,"518,48","1370,71",...,"631,02",2010
351300 COTIA,"1314,82","638,69","2247,23","589,76","835,21",-,"1030,64",2010
351310 CRAVINHOS,"873,3","620,42","1022,88","552,13",990,...,"774,71",2010
351320 CRISTAIS PAULISTA,"844,3",411,"948,92","508,47","369,37",...,"718,26",2010
351330 CRUZALIA,"664,91","311,49","421,2","460,65","633,15",...,"608,5",2010
351340 CRUZEIRO,"885,42","466,15","1070,66","562,58",...,...,"793,98",2010
351350 CUBATAO,"792,48","634,93","761,81","562,85","679,15","382,5","665,75",2010
351360 CUNHA,"548,12","1271,21","330,14","394,88",...,...,"516,26",2010
351370 DESCALVADO,"855,39","422,56","399,61","592,88",400,...,"791,63",2010
351380 DIADEMA,"733,03","578,96","1143,7","572,29","617,82",...,"657,57",2010
351385 DIRCE REIS,"616,15","512,84","366,67","467,88",...,...,"561,43",2010
351390 DIVINOLANDIA,"745,48","402,06","1187,07","549,7",...,...,"703,45",2010
351400 DOBRADA,"683,23","598,06",350,"479,97",...,...,"585,98",2010
351410 DOIS CORREGOS,"830,33","418,18","312,5","410,18",...,...,"720,28",2010
351420 DOLCINOPOLIS,"643,08","858,93","657,27","517,04",1005,...,"619,75",2010
351430 DOURADO,"744,24","507,21",...,"493,17",...,...,"693,6",2010
351440 DRACENA,"945,1","565,55","1334,74","563,25","427,5",...,"856,31",2010
351450 DUARTINA,"778,8","517,28","768,87","466,44","625,87",...,"683,88",2010
351460 DUMONT,"763,85","559,33",...,"552,96",...,...,"700,33",2010
351470 ECHAPORA,"869,53","394,28","1119,27","426,76","133,33",...,"694,37",2010
351480 ELDORADO,"544,54","255,44","353,45","323,54","562,84",...,"404,66",2010
351490 ELIAS FAUSTO,"674,72","439,37","930,07","437,73",...,...,"604,27",2010
351492 ELISIARIO,"686,75","499,2",...,"571,5",2780,...,"662,37",2010
351495 EMBAUBA,"772,14","658,03","886,74","572,39",113,...,"707,38",2010
351500 EMBU DAS ARTES,"706,55","489,39","780,07","471,61","676,97",-,"579,72",2010
351510 EMBU-GUACU,"806,23","411,5","653,53","493,08","467,13",...,"661,04",2010
351512 EMILIANOPOLIS,"657,48","449,96","538,1","476,2",...,...,"581,31",2010
351515 ENGENHEIRO COELHO,"840,92","554,54","712,73","551,55",...,...,"702,21",2010
351518 ESPIRITO SANTO DO PINHAL,"1182,36","507,18","1008,05","499,53","698,94",...,"1037,6",2010
351519 ESPIRITO SANTO DO TURVO,"574,91","370,55","965,28",435,"622,28",...,"526,46",2010
351520 ESTRELA D'OESTE,"695,77","509,64","1866,76","533,44",...,...,"663,9",2010
351530 ESTRELA DO NORTE,"573,17","521,78","495,8","623,39",...,...,"592,17",2010
351535 EUCLIDES DA CUNHA PAULISTA,"578,83","540,99","1160,2","397,43",...,...,"482,78",2010
351540 FARTURA,"656,21","396,48","444,1","415,53",350,...,"615,28",2010
351550 FERNANDOPOLIS,"1015,48","611,85","1286,72","670,46","514,82",...,"938,63",2010
351560 FERNANDO PRESTES,"878,99","645,23","7851,52","561,4",...,...,"831,17",2010
351565 FERNAO,"550,94","580,38","686,52","399,93",...,...,"507,19",2010
351570 FERRAZ DE VASCONCELOS,"627,97","504,15","736,45","479,33","652,03",...,"553,42",2010
351580 FLORA RICA,"516,13","398,99","937,3","476,21","149,01",...,"496,64",2010
351590 FLOREAL,"708,17","510,08",950,"467,92",...,...,"662,49",2010
351600 FLORIDA PAULISTA,"663,16","591,63","1664,21","493,31",255,...,"613,9",2010
351610 FLORINIA,"588,64","338,94","142,77","375,04",...,...,"523,07",2010
351620 FRANCA,"938,16","549,91","1484,45","602,77","668,19",...,"836,61",2010
351630 FRANCISCO MORATO,"490,85","468,5","464,67","417,98","407,76",...,"453,17",2010
351640 FRANCO DA ROCHA,"697,33","557,52","977,83","485,68","1321,18",...,"605,4",2010
351650 GABRIEL MONTEIRO,"760,15","473,18","629,84","584,84",...,...,"710,33",2010
351660 GALIA,"643,1","468,7","600,33","403,68",...,...,"561,58",2010
351670 GARCA,"932,35","444,27","975,34","496,03","750,05",...,"767,16",2010
351680 GASTAO VIDIGAL,"807,18","471,5",2500,"613,99",...,...,"718,4",2010
351685 GAVIAO PEIXOTO,"612,44","470,06",505,"499,73",...,...,"562,15",2010
351690 GENERAL SALGADO,"873,26","518,38","567,49","553,68",...,...,"767,23",2010
351700 GETULINA,"701,68","640,93","772,86","421,94","187,33",...,"587,28",2010
351710 GLICERIO,"947,25","472,32","863,02","475,38",...,...,"777,25",2010
351720 GUAICARA,"693,44","540,34","787,09","481,07",...,...,"607,39",2010
351730 GUAIMBE,"581,68","413,93","1388,33","439,33","436,67",...,"528,52",2010
351740 GUAIRA,"1011,5","474,78","2441,65","474,02","1035,92",...,"850,71",2010
351750 GUAPIACU,"807,79","601,51","646,27","549,17",750,...,"733,93",2010
351760 GUAPIARA,"444,36","375,37","838,02","339,77","198,33",...,"403,19",2010
351770 GUARA,"824,03","426,2","1274,9","461,65",...,...,"639,94",2010
351780 GUARACAI,"675,87","440,07","1436,42","421,29",...,...,"608,4",2010
351790 GUARACI,"680,71","519,19","812,24","494,84","472,31",...,"611,53",2010
351800 GUARANI D'OESTE,"574,35","701,75","623,37","467,68",...,...,"552,64",2010
351810 GUARANTA,"695,83","390,46","481,73","497,02",1675,...,"608,89",2010
351820 GUARARAPES,"808,99","484,69","992,58","628,1","521,02",...,"732,4",2010
351830 GUARAREMA,"805,69","475,81","1541,74","442,06","353,33",...,"707,21",2010
351840 GUARATINGUETA,"1060,03","596,63","1891,43","553,89","564,7",...,"915,87",2010
351850 GUAREI,"635,93","451,66","485,05","421,06","454,78",...,"587,82",2010
351860 GUARIBA,"847,02","542,68","624,18","481,7",330,...,"663,95",2010
351870 GUARUJA,"916,1","522,4","1201,89","535,4","573,82","146,67","719,02",2010
351880 GUARULHOS,"949,83","634,91","1576,28","574,65","826,5",...,"790,79",2010
351885 GUATAPARA,"637,96","539,26","1455,09","574,48",...,...,"670,13",2010
351890 GUZOLANDIA,"558,69","368,19","921,74","497,97","139,14",...,"532,68",2010
351900 HERCULANDIA,"639,14","454,61","1497,69","406,5","266,67",...,"538,22",2010
351905 HOLAMBRA,"1540,91","505,27","2256,76","615,81","99,41",...,"1258,84",2010
351907 HORTOLANDIA,"742,02","601,08","691,7","555,85","879,67",...,"659,28",2010
351910 IACANGA,"756,73","603,63","1042,31","582,47",200,...,"710,36",2010
351920 IACRI,"734,73","445,91","917,09","465,98",...,...,"626,58",2010
351925 IARAS,"594,47","365,98","739,47","330,63",...,...,"488,22",2010
351930 IBATE,"553,92","453,24","505,8","459,16","166,31",...,"517,37",2010
351940 IBIRA,"884,69","625,38","635,53","480,5",...,...,"797,14",2010
351950 IBIRAREMA,"635,88","431,52","331,15","408,15",325,...,"586,89",2010
351960 IBITINGA,"841,12","438,27","615,87","560,38","618,92",...,"770,9",2010
351970 IBIUNA,"631,35","434,84","1665,88","442,71","241,69",...,"607,88",2010
351980 ICEM,"764,42","515,27","1303,62","576,44","554,57",...,"684,22",2010
351990 IEPE,"654,97","484,27","427,95","419,68",365,...,"597,04",2010
352000 IGARACU DO TIETE,"624,3","553,4","512,41","511,72","566,25",...,"587,44",2010
352010 IGARAPAVA,"1754,09","632,44","958,32","567,33",255,...,"1220,71",2010
352020 IGARATA,"600,77","422,37","825,15","417,51",...,...,"548,05",2010
352030 IGUAPE,"647,76","350,23","921,64","436,84","246,18",...,"564,03",2010
352040 ILHABELA,"953,88","561,25","911,25",542,830,...,"751,03",2010
352042 ILHA COMPRIDA,"665,2","455,14","565,13","412,31",...,...,"562,06",2010
352044 ILHA SOLTEIRA,"1227,46","785,08","1203,54","787,64","762,17",...,"1043,33",2010
352050 INDAIATUBA,"1199,37","716,05","1652,8","736,19","1065,91",170,"1067,69",2010
352060 INDIANA,"791,79","470,88","1890,22","451,66","583,33",...,"675,98",2010
352070 INDIAPORA,"759,7","466,18","364,57","438,5","420,4",...,"677,79",2010
352080 INUBIA PAULISTA,"622,12","546,1","811,47","490,23",...,...,"570,22",2010
352090 IPAUSSU,"763,71","481,46","633,79","434,12",...,...,"665,92",2010
352100 IPERO,"597,59","554,87","549,9","425,01",...,...,"540,64",2010
352110 IPEUNA,"919,99","476,95",...,"526,22","432,76",...,"773,52",2010
352115 IPIGUA,"609,34","567,93","640,27","529,26",-,...,"593,88",2010
352120 IPORANGA,"527,42","360,94","347,72","383,45","851,67",...,"417,09",2010
352130 IPUA,"1185,04","439,7","627,75","502,68","413,77",...,"891,43",2010
352140 IRACEMAPOLIS,"822,87","524,48","828,07","550,7",...,...,"742,08",2010
352150 IRAPUA,"625,79","427,33","488,04","448,8",...,...,"573,8",2010
352160 IRAPURU,"682,24","417,65","747,23","446,06",...,...,"581,25",2010
352170 ITABERA,"492,22","288,15","482,31","322,62","392,5",...,"450,45",2010
352180 ITAI,"627,08","832,55","689,88","470,13","493,33",...,"590,19",2010
352190 ITAJOBI,"756,68","479,94","588,82","526,51",...,...,"721,85",2010
352200 ITAJU,"658,77","467,73",425,"471,85",...,...,"605,46",2010
352210 ITANHAEM,"783,19","539,86","969,04","491,95","475,33",...,"670,1",2010
352215 ITAOCA,"518,73","433,04","403,57","327,35",...,...,"389,76",2010
352220 ITAPECERICA DA SERRA,"701,81","461,54","882,67","482,34","587,42","127,5","587,95",2010
352230 ITAPETININGA,"795,97","521,79","1089,84","464,2","386,22",...,"731,57",2010
352240 ITAPEVA,"676,71","419,87","693,58","434,45","426,77",...,"617,21",2010
352250 ITAPEVI,"610,55","475,93","910,37","450,3","1537,15","47,11","526,41",2010
352260 ITAPIRA,"903,09","587,45","1402,11","549,53","3666,98",...,"830,59",2010
352265 ITAPIRAPUA PAULISTA,"344,88","181,13","271,91","294,33",...,...,"319,51",2010
352270 ITAPOLIS,"851,25","473,47","459,92","504,7","1074,95",510,"782,82",2010
352280 ITAPORANGA,"592,65","253,19","1174,76","332,89","589,97",...,"548,79",2010
352290 ITAPUI,"735,89",448,...,"471,48","290,14",...,"665,02",2010
352300 ITAPURA,"501,88","1398,33","445,33","450,44","177,5",...,"528,71",2010
352310 ITAQUAQUECETUBA,"537,73","451,24","699,29","416,13","451,57",...,"472,62",2010
352320 ITARARE,"531,3","431,79","648,14","379,97","589,12",...,"499,69",2010
352330 ITARIRI,"508,45","324,32","657,81","313,18","244,91",...,"413,84",2010
352340 ITATIBA,"1201,78","636,92","1230,77","652,7","783,74",...,"1049,94",2010
352350 ITATINGA,"618,53","376,43","847,6","425,6","306,12",...,"561,37",2010
352360 ITIRAPINA,"907,52","484,17","1861,49","490,62","519,65",...,"766,12",2010
352370 ITIRAPUA,"573,68","382,6","3945,8","425,55",350,...,"521,75",2010
352380 ITOBI,"687,58","447,15","453,48","460,56",...,...,"610,74",2010
352390 ITU,"1155,77","733,17","1038,93","603,67","356,34","60,55","998,53",2010
352400 ITUPEVA,"935,52","579,61","1147,98","623,1","505,51",...,"825,2",2010
352410 ITUVERAVA,"1101,89","597,6","1141,44","606,41","550,42",...,"941,43",2010
352420 JABORANDI,"631,96","416,25","273,48","413,03",...,...,"545,26",2010
352430 JABOTICABAL,"1168,53","587,02","1207,05","508,21","810,66",...,"992,02",2010
352440 JACAREI,"913,69","632,18","1228,11","583,22","542,41",...,"823,66",2010
352450 JACI,"660,36","485,81","458,36","511,68",...,...,"622,25",2010
352460 JACUPIRANGA,"654,3","490,41","816,22","443,41",...,...,"563,09",2010
352470 JAGUARIUNA,"1125,27","851,86","1320,33","711,71","311,78",...,"1017,06",2010
352480 JALES,"905,09","610,61","894,12","576,98",2300,...,"837,04",2010
352490 JAMBEIRO,"809,99","490,57","2210,83","474,43",...,...,"732,44",2010
352500 JANDIRA,"937,25","620,18","1699,12","582,62","951,86","308,64","770,61",2010
352510 JARDINOPOLIS,"810,88","494,34","612,91","470,42",...,...,"701,73",2010
352520 JARINU,"828,49","584,22","1903,85","489,31",640,...,"702,51",2010
352530 JAU,"1040,12","562,68","835,64","591,86","580,84",...,"939,63",2010
352540 JERIQUARA,"648,18","457,1","584,5","418,54","445,83",...,"546,89",2010
352550 JOANOPOLIS,"657,5","395,9","594,75","496,03","663,8",...,"631,76",2010
352560 JOAO RAMALHO,"751,1","430,35","831,37","457,47",...,...,"625,41",2010
352570 JOSE BONIFACIO,"930,81","608,22","1200,4","608,55",750,...,"856,84",2010
352580 JULIO MESQUITA,"573,46","356,11","414,95","407,13",...,...,"479,75",2010
352585 JUMIRIM,"806,78","507,86","257,5","480,28","613,03",...,"707,41",2010
352590 JUNDIAI,"1597,55","766,46","2142,97","735,34","821,33",...,"1408,1",2010
352600 JUNQUEIROPOLIS,"797,34","515,76","1984,69","525,11","413,75",...,"729,77",2010
352610 JUQUIA,"513,79","423,88","1105,47","379,94","848,64",...,"462,07",2010
352620 JUQUITIBA,"582,73","411,87","453,52","440,38","3233,33",...,"528,84",2010
352630 LAGOINHA,"601,95","413,7","706,65","452,25","1607,9",...,"565,29",2010
352640 LARANJAL PAULISTA,"815,92","643,13",250,"488,58","531,43",...,"743,8",2010
352650 LAVINIA,"668,24","453,24","800,96","501,57",...,...,"609,18",2010
352660 LAVRINHAS,"544,43","277,7","182,27","336,18",...,...,"480,31",2010
352670 LEME,"857,66","478,78","612,92","464,6","607,66","269,21","741,94",2010
352680 LENCOIS PAULISTA,"902,82","493,72","704,02","583,77","627,5",...,"806,43",2010
352690 LIMEIRA,"992,23","573,7","1207,18","602,91","507,43",-,"885,02",2010
352700 LINDOIA,"758,03","580,33","498,73","549,05",716,...,"711,07",2010
352710 LINS,"1061,93","568,92","992,87","616,89","676,57",...,"898,97",2010
352720 LORENA,"903,16","569,81","925,43","510,6","718,68","127,5","769,5",2010
352725 LOURDES,"648,73","545,99","242,33","535,66",...,...,607,2010
352730 LOUVEIRA,"1207,77","776,79","1182,33","629,25",1025,...,"1019,54",2010
352740 LUCELIA,"831,79","425,66","676,64","513,72",...,...,"737,1",2010
352750 LUCIANOPOLIS,"757,22","561,77","12448,27","504,13",...,...,"773,27",2010
352760 LUIS ANTONIO,"746,99","471,04","454,75","519,33",1200,...,"654,31",2010
352770 LUIZIANIA,"621,82","406,43","792,16","496,61",225,...,"546,48",2010
352780 LUPERCIO,"647,53","462,49","955,21","403,8","541,84",...,"542,69",2010
352790 LUTECIA,"555,47","477,89","499,33","431,93",...,...,"504,84",2010
352800 MACATUBA,"1139,28","548,59","682,97","515,04","957,33",...,"918,61",2010
352810 MACAUBAL,"738,7","401,62","413,76","473,34",...,...,"701,14",2010
352820 MACEDONIA,"677,28","432,4","2605,99","452,14",...,...,"639,84",2010
352830 MAGDA,"806,83","431,74","1033,33","479,18","673,33",...,"721,83",2010
352840 MAIRINQUE,"746,12","678,6","920,12","511,45","690,37",...,"666,59",2010
352850 MAIRIPORA,"1082,18","486,09","1332,58","533,43","381,11",...,"899,97",2010
352860 MANDURI,"748,73","646,36",600,"766,5","382,5",...,"748,73",2010
352870 MARABA PAULISTA,"530,67","414,06","981,75","396,38",...,...,"456,3",2010
352880 MARACAI,"737,51","506,81","1378,61","506,75","478,69",...,"663,38",2010
352885 MARAPOAMA,"798,34","391,52",...,"523,91",...,...,"760,86",2010
352890 MARIAPOLIS,"585,92","487,72","531,83","496,9",...,...,"555,01",2010
352900 MARILIA,"1112,45","551,9","1322,21","578,9","732,68",375,"938,57",2010
352910 MARINOPOLIS,"620,73","491,99","713,82","375,4",...,...,"552,77",2010
